approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.9640),(0.7778|1.0000),0.3523,0.0714,0.5754,0.1270
all_code_uc_chains_bge,15%,(1.0000|0.9640),(0.7778|1.0000),0.3636,0.0832,0.5287,0.1437
all_code_uc_chains_bge,10%,(1.0000|0.9640),(0.7778|1.0000),0.3781,0.1061,0.4758,0.1735
all_code_uc_chains_bge,5%,(1.0000|0.9640),(0.7778|1.0000),0.3845,0.1513,0.3712,0.2150
all_code_uc_chains_bge,3%,(1.0000|0.9640),(0.7778|1.0000),0.3836,0.1990,0.3136,0.2435
all_code_uc_chains_bge,1%,(1.0000|0.9640),(0.7778|1.0000),0.2804,0.2734,0.1530,0.1962
