approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.6261),(0.7681|0.6883),0.3759,0.0942,0.5076,0.1589
all_code_uc_chains_bge,15%,(1.0000|0.6261),(0.7681|0.6883),0.3855,0.1075,0.4596,0.1742
all_code_uc_chains_bge,10%,(1.0000|0.6261),(0.7681|0.6883),0.3969,0.1388,0.4105,0.2074
