approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.6712),(0.7722|0.7922),0.3590,0.1322,0.3436,0.1910
all_code_uc_chains_bge,15%,(1.0000|0.6712),(0.7722|0.7922),0.3605,0.1494,0.3096,0.2016
all_code_uc_chains_bge,10%,(1.0000|0.6712),(0.7722|0.7922),0.3549,0.1616,0.2611,0.1996
