approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(0.8793|0.7500),(1.0000|0.7910),0.6578,0.4175,0.3008,0.3496
all_code_uc_chains_bge,15%,(0.8793|0.7500),(1.0000|0.7910),0.6879,0.4679,0.2496,0.3255
all_code_uc_chains_bge,10%,(0.8793|0.7500),(1.0000|0.7910),0.7028,0.5152,0.2110,0.2994
