approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(0.8286|0.4265),(1.0000|0.3881),0.3509,0.3095,0.0654,0.1080
all_code_uc_chains_bge,15%,(0.8286|0.4265),(1.0000|0.3881),0.3509,0.3095,0.0547,0.0930
all_code_uc_chains_bge,10%,(0.8286|0.4265),(1.0000|0.3881),0.3509,0.3095,0.0547,0.0930
