approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.8727),(0.3514|1.0000),0.6622,0.4024,0.3838,0.3929
all_code_uc_chains_bge,15%,(1.0000|0.8727),(0.3514|1.0000),0.6682,0.4163,0.3256,0.3654
all_code_uc_chains_bge,10%,(1.0000|0.8727),(0.3514|1.0000),0.6907,0.4778,0.2727,0.3472
all_code_uc_chains_miniLM,20%,(1.0000|0.8727),(0.3514|1.0000),0.5405,0.3157,0.3197,0.3177
all_code_uc_chains_miniLM,15%,(1.0000|0.8727),(0.3514|1.0000),0.5596,0.3307,0.2849,0.3061
all_code_uc_chains_miniLM,10%,(1.0000|0.8727),(0.3514|1.0000),0.5708,0.3517,0.2437,0.2879
all_code_uc_chains_simcse,20%,(1.0000|0.9091),(0.3514|1.0000),0.6098,0.3607,0.3445,0.3524
all_code_uc_chains_simcse,15%,(1.0000|0.9091),(0.3514|1.0000),0.6125,0.3780,0.3070,0.3388
all_code_uc_chains_simcse,10%,(1.0000|0.9091),(0.3514|1.0000),0.6130,0.4191,0.2467,0.3106
