approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.9273),(0.3482|1.0000),0.6602,0.4028,0.3902,0.3964
all_code_uc_chains_bge,15%,(1.0000|0.9273),(0.3482|1.0000),0.6654,0.4203,0.3311,0.3704
all_code_uc_chains_bge,10%,(1.0000|0.9273),(0.3482|1.0000),0.6856,0.4798,0.2806,0.3541
all_code_uc_chains_miniLM,20%,(1.0000|0.9273),(0.3482|1.0000),0.5370,0.3155,0.3226,0.3191
all_code_uc_chains_miniLM,15%,(1.0000|0.9273),(0.3482|1.0000),0.5594,0.3312,0.2858,0.3068
all_code_uc_chains_miniLM,10%,(1.0000|0.9273),(0.3482|1.0000),0.5697,0.3513,0.2446,0.2884
all_code_uc_chains_simcse,20%,(1.0000|0.9636),(0.3514|1.0000),0.5993,0.3573,0.3567,0.3570
all_code_uc_chains_simcse,15%,(1.0000|0.9636),(0.3514|1.0000),0.6103,0.3766,0.3101,0.3401
all_code_uc_chains_simcse,10%,(1.0000|0.9636),(0.3514|1.0000),0.6109,0.4177,0.2498,0.3126
