approach,top@p,code filter,uc filter,map,precision,recall,f1
weighted_code_uc_chains_bge,20%,(1.0000|0.6964),(0.7633|0.7914),0.3142,0.1098,0.3040,0.1614
weighted_code_uc_chains_bge,15%,(1.0000|0.6964),(0.7633|0.7914),0.3218,0.1284,0.2744,0.1749
weighted_code_uc_chains_bge,10%,(1.0000|0.6964),(0.7633|0.7914),0.3266,0.1533,0.2398,0.1871
weighted_code_uc_chains_miniLM,20%,(1.0000|0.6964),(0.7811|0.8098),0.3032,0.1143,0.3221,0.1688
weighted_code_uc_chains_miniLM,15%,(1.0000|0.6964),(0.7811|0.8098),0.3020,0.1183,0.2634,0.1633
weighted_code_uc_chains_miniLM,10%,(1.0000|0.6964),(0.7811|0.8098),0.3016,0.1293,0.2213,0.1632
weighted_code_uc_chains_simcse,20%,(1.0000|0.7098),(0.7515|0.7791),0.2427,0.0801,0.2332,0.1192
weighted_code_uc_chains_simcse,15%,(1.0000|0.7098),(0.7515|0.7791),0.2417,0.0920,0.1960,0.1252
weighted_code_uc_chains_simcse,10%,(1.0000|0.7098),(0.7515|0.7791),0.2431,0.1069,0.1686,0.1308
