approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.6652),(0.7679|0.7914),0.3066,0.1088,0.3007,0.1598
all_code_uc_chains_bge,15%,(1.0000|0.6652),(0.7679|0.7914),0.3155,0.1289,0.2684,0.1742
all_code_uc_chains_bge,10%,(1.0000|0.6652),(0.7679|0.7914),0.3187,0.1477,0.2329,0.1807
all_code_uc_chains_miniLM,20%,(1.0000|0.6652),(0.7857|0.8098),0.3023,0.1101,0.3115,0.1627
all_code_uc_chains_miniLM,15%,(1.0000|0.6652),(0.7857|0.8098),0.3024,0.1144,0.2575,0.1584
all_code_uc_chains_miniLM,10%,(1.0000|0.6652),(0.7857|0.8098),0.3010,0.1279,0.2198,0.1617
all_code_uc_chains_simcse,20%,(1.0000|0.6741),(0.7560|0.7791),0.2444,0.0822,0.2347,0.1218
all_code_uc_chains_simcse,15%,(1.0000|0.6741),(0.7560|0.7791),0.2433,0.0927,0.1950,0.1256
all_code_uc_chains_simcse,10%,(1.0000|0.6741),(0.7560|0.7791),0.2447,0.1080,0.1698,0.1320
