approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.6652),(0.7679|0.7914),0.2865,0.0517,0.4726,0.0933
all_code_uc_chains_bge,15%,(1.0000|0.6652),(0.7679|0.7914),0.2905,0.0619,0.4237,0.1080
all_code_uc_chains_bge,10%,(1.0000|0.6652),(0.7679|0.7914),0.3037,0.0787,0.3534,0.1287
