top@p,map_change,precision_change,recall_change,f1_change,file_name
20%,-0.092,-0.076,-0.021,-0.064,_no_art.csv
15%,-0.083,-0.083,-0.041,-0.068,_no_art.csv
10%,-0.075,-0.071,-0.004,-0.038,_no_art.csv
20%,0.015,0.042,-0.029,0.017,_no_decompose.csv
15%,0.012,0.002,-0.02,-0.007,_no_decompose.csv
10%,-0.001,-0.018,0.024,0.003,_no_decompose.csv
20%,-0.032,-0.143,0.14,-0.098,_no_link.csv
15%,-0.012,-0.126,0.108,-0.061,_no_link.csv
10%,0.006,-0.074,0.136,0.013,_no_link.csv
